title,score,comment,quote,year,country,category,link,cover
雨人,8.7,317387,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988,美国,剧情,https://movie.douban.com/subject/1291870/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2072472904.jpg
冰川时代,8.6,473047,松鼠才是角儿。,2002,美国,喜剧 动画 冒险,https://movie.douban.com/subject/1291578/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
恋恋笔记本,8.5,492998,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004,美国,剧情 爱情,https://movie.douban.com/subject/1309163/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
惊魂记,9,176858,故事的反转与反转，分裂电影的始祖。,1960,美国,悬疑 惊悚 恐怖,https://movie.douban.com/subject/1293181/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
二十二,8.7,221430,有一些东西不应该被遗忘。,2015,中国大陆,纪录片,https://movie.douban.com/subject/26430107/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
恐怖游轮,8.5,589412,不要企图在重复中寻找已经失去的爱。,2009,英国 澳大利亚,剧情 悬疑 惊悚,https://movie.douban.com/subject/3011051/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
海边的曼彻斯特,8.6,364426,我们都有权利不与自己的过去和解。,2016,美国,剧情 家庭,https://movie.douban.com/subject/25980443/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
小偷家族,8.7,610533,我们组成了家。,2018,日本,剧情 犯罪 家庭,https://movie.douban.com/subject/27622447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
房间,8.8,298234,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,https://movie.douban.com/subject/25724855/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
奇迹男孩,8.6,432038,世界不完美，爱会有奇迹。,2017,美国 中国香港,剧情 儿童 家庭,https://movie.douban.com/subject/26787574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
绿里奇迹,8.8,210740,天使暂时离开。,1999,美国,犯罪 剧情 奇幻 悬疑,https://movie.douban.com/subject/1300374/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
魔女宅急便,8.6,347127,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1307811/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
雨中曲,9,154086,骨灰级歌舞片。,1952,美国,喜剧 歌舞 爱情,https://movie.douban.com/subject/1293460/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
虎口脱险,8.9,176293,永远看不腻的喜剧。,1966,法国 英国,喜剧 战争,https://movie.douban.com/subject/1296909/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
疯狂的石头,8.5,596062,中国版《两杆大烟枪》。,2006,中国大陆 中国香港,喜剧 犯罪,https://movie.douban.com/subject/1862151/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
爱在午夜降临前,8.8,243967,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013,美国 希腊,剧情 爱情,https://movie.douban.com/subject/10808442/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
人工智能,8.6,327409,对爱的执着，可以超越一切。,2001,美国,剧情 科幻,https://movie.douban.com/subject/1302827/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
